episode,reward,mean_sinr,sum_cbl,total_power,critic_loss,actor_loss,buffer_size
1,13.756100935234073,0.0006246162959312655,99.99999904632568,0.0009999999232231987,,,1
2,16.049991881606907,0.000140354857199372,100.00000286102295,0.0010000000377899496,,,2
3,16.5842537353357,7.174996970340173e-05,100.00000286102295,0.0010000000473025332,,,3
4,16.966116776391942,4.535865977969058e-05,99.99999618530273,0.000999999978955172,489.5804443359375,0.0,4
5,16.6851000158633,9.408436478399755e-05,99.99999809265137,0.0010000000558587588,522.615478515625,0.0,5
6,16.42497405877451,8.942546457164613e-05,99.99999523162842,0.0010000001038438888,419.88323974609375,0.0,6
7,16.64668440260661,4.466097004882927e-05,99.99999666213989,0.0009999998976205908,426.4811706542969,-2.5438199043273926,7
8,16.272982408463132,6.051306655641833e-05,99.99999332427979,0.0010000000669406137,403.72515869140625,0.0,8
9,17.259180087273613,2.920430895636995e-05,99.99999618530273,0.0009999999806875636,358.57464599609375,0.0,9
10,17.472849900670983,2.3966901249637003e-05,99.99999618530273,0.0010000000169644912,371.9375,0.0,10
11,15.743549346884599,0.0001833889305884971,100.00000190734863,0.0010000000239933074,364.2263488769531,-4.118569850921631,11
12,16.691307568289602,6.590237713124491e-05,99.99999809265137,0.0009999999715893525,341.84619140625,0.0,12
13,17.04035825313817,4.7484585772902286e-05,100.00000381469727,0.000999999875388959,326.9649353027344,0.0,13
14,15.37066996557579,0.0002550498789189899,99.99999904632568,0.0010000000445562947,299.3291015625,0.0,14
15,16.643960977026218,5.95198379709792e-05,99.99999904632568,0.0009999999806286617,279.0901794433594,-4.840844631195068,15
16,16.411514365203857,9.829220770689364e-05,100.00000190734863,0.0010000000750802576,215.35186767578125,0.0,16
17,17.525038384157316,1.998371351482245e-05,99.99999856948853,0.0009999999728785782,260.2929992675781,0.0,17
18,16.702046443263594,1.9248639642705572e-05,99.99999958276749,0.0009999999362381032,255.4351806640625,0.0,18
19,17.44263470127612,3.4302825711909286e-05,100.0,0.0010000000239802037,243.35882568359375,-5.376214027404785,19
20,15.618523834785428,0.00015124406641089838,100.0,0.0010000000844204336,229.19410705566406,0.0,20
